Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
CB1 0AA,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-04-01,2018-05-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AB,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-05-01,2017-12-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AD,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-08-01,2019-04-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AE,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-09-01,2018-04-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AF,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-10-01,2018-04-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AG,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-10-01,2018-04-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AH,Yes,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2005-06-01,,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AJ,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-10-01,2018-10-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AL,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2005-07-01,2013-01-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0AN,Yes,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2005-07-01,,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AP,No,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2005-07-01,2017-09-01,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
